"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_107460",825,824.22,208,207.15,43,45.22,71,70.11,110,3547,20306,0.01,-1.32,NA,"None",-0.87
"INHS_FISH_107479",1188,1187.24,303,302.42,78,83.57,102,101.18,159,6801,41199,0,-1.16,NA,"None",7.23
"INHS_FISH_107493",978,977.15,227,227.61,48,52.8,80,79.76,128,4284,24395,-0.02,-1,NA,"None",7.09
"INHS_FISH_107530",1208,1207.08,302,301.11,76,77.1,101,100.4,167,6686,43805,0,-0.66,NA,"None",5.47
"INHS_FISH_107535",1038,1037.02,264,263.09,67,69.64,85,84.01,139,5067,32790,0,-0.33,NA,"None",-1.44
"INHS_FISH_107593",857,856.02,208,207.02,50,51.2,66,65.76,118,3443,22219,0,0.4,NA,"None",-1.93
"INHS_FISH_107609",971,970.3,250,249.01,63,66.73,83,82.87,134,4670,28840,0,1.42,NA,"None",5.76
"INHS_FISH_107612",1358,1357,324,323,82,85.16,104,103.48,178,7751,50927,0,0.13,NA,"None",-1.89
"INHS_FISH_107665",1490,1489.06,371,371.65,97,99.46,119,118.11,204,9398,64973,0,0.5,NA,"None",-6.68
"INHS_FISH_107782",1254,1253.06,316,315.16,88,90.03,100,99.08,170,7331,47205,0,0.55,NA,"None",3.77
"INHS_FISH_107909",734,733.27,201,200.64,50,51.92,64,63.13,100,2798,17506,0,1.56,NA,"None",14.75
"INHS_FISH_108021",1095,1094.12,276,275.03,77,78.26,92,91.66,145,5585,32746,-0.01,0.84,NA,"None",4.62
"INHS_FISH_108738",1018,1017.18,252,252.14,63,63,87,86.21,140,5342,30975,0,1.07,NA,"None",7.32
"INHS_FISH_108840",1135,1134.09,274,273.31,70,70.18,97,96.05,153,6198,34746,0.03,0.71,NA,"None",8
"INHS_FISH_109204",1436,1435.13,312,312.54,81,84.48,89,90.96,163,6376,45450,0,0.76,NA,"None",3.2
"INHS_FISH_109207",1879,1878.07,428,427.57,104,107.7,145,144.01,233,13900,87673,0,0.49,NA,"None",-1.71
"INHS_FISH_109975",1798,1797,394,396.43,101,102.26,123,122.2,218,10829,74844,0,0.06,NA,"None",-1.87
"INHS_FISH_59090",2347,2346.1,575,576.35,174,175.51,161,160.08,292,16380,136262,0,-0.54,NA,"None",4.04
