"Scientific_Name","Sample_Size"
"Notropis anogenus",10
"Notropis maculatus",10
"Notropis petersoni",10
"Notropis rubricroceus",11
"Notropis spectrunculus",14
"Notropis ammophilus",15
"Notropis baileyi",16
"Notropis amabilis",19
"Notropis scepticus",19
"Notropis xaenocephalus",20
"Notropis cummingsae",22
"Notropis rupestris",23
"Notropis stilbius",23
"Notropis procne",28
"Notropis heterodon",31
"Notropis heterolepis",31
"Notropis longirostris",31
"Notropis greenei",33
"Notropis lutipinnis",33
"Notropis photogenis",33
"Notropis micropteryx",38
"Notropis rubellus",46
"Notropis chalybaeus",51
"Carassius auratus",56
"Notropis leuciodus",70
"Notropis wickliffi",79
"Notropis buchanani",88
"Notropis telescopus",88
"Notropis nubilus",97
"Notropis texanus",97
"Notropis volucellus",145
"Notropis boops",188
"Notropis hudsonius",196
"Notropis blennius",254
"Notropis percobromus",258
"Cyprinus carpio",331
"Notropis buccatus",482
"Phenacobius mirabilis",546
"Notropis atherinoides",606
"Notropis dorsalis",686
"Notropis stramineus",1371
