,dorsal_fin_number,dorsal_fin_percentage,adipos_fin_number,adipos_fin_percentage,caudal_fin_number,caudal_fin_percentage,anal_fin_number,anal_fin_percentage,pelvic_fin_number,pelvic_fin_percentage,pectoral_fin_number,pectoral_fin_percentage,head_number,head_percentage,eye_number,eye_percentage,caudal_fin_ray_number,caudal_fin_ray_percentage,alt_fin_ray_number,alt_fin_ray_percentage,trunk_number,trunk_percentage
INHS_FISH_62362,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
INHS_FISH_99358,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9995059288537549,2.0,0.618647812638091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
INHS_FISH_103219,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9741093231482061
INHS_FISH_106768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.6783807829181495,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
INHS_FISH_47892,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9809181114382292
INHS_FISH_25022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9735773975328292
INHS_FISH_24324,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8715953307392996,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.9851725332937274
INHS_FISH_56883,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
INHS_FISH_43105,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.9241594996090696,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
INHS_FISH_95766,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.5879090404880755,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
